Seq,DOY,DATE,HOUR,AMF_FC_OLD,FCH4_nmol_OLD,AMF_FCH4_OLD,AMF_FC,FCH4_nmol,AMF_FCH4
236,9.833,1/10/2015,20,,,,,,
237,9.875,1/10/2015,21,,,,,,
238,9.917,1/10/2015,22,,,,,,
239,9.958,1/10/2015,23,,,,,,
240,10,1/10/2015,24,,,,,,
241,10.042,1/11/2015,1,,,,,,
242,10.083,1/11/2015,2,,,,,,
243,10.125,1/11/2015,3,,,,,,
244,10.167,1/11/2015,4,,,,,,
245,10.208,1/11/2015,5,,,,,,
246,10.25,1/11/2015,6,,,,,,
247,10.292,1/11/2015,7,,,,,,
248,10.333,1/11/2015,8,,,,,,
249,10.375,1/11/2015,9,,,,,,
250,10.417,1/11/2015,10,,,,,,
251,10.458,1/11/2015,11,,,,,,
252,10.5,1/11/2015,12,,,,,,
253,10.542,1/11/2015,13,,,,,,
254,10.583,1/11/2015,14,,,,,,
255,10.625,1/11/2015,15,,,,,,
256,10.667,1/11/2015,16,,,,,,
257,10.708,1/11/2015,17,,,,,,
258,10.75,1/11/2015,18,,,,,,
259,10.792,1/11/2015,19,,,,,,
260,10.833,1/11/2015,20,,,,,,
261,10.875,1/11/2015,21,,,,,,
262,10.917,1/11/2015,22,,,,,,
263,10.958,1/11/2015,23,,,,,,
264,11,1/11/2015,24,,,,,,
265,11.042,1/12/2015,1,,,,,,
266,11.083,1/12/2015,2,,,,,,
267,11.125,1/12/2015,3,,,,,,
268,11.167,1/12/2015,4,,,,,,
269,11.208,1/12/2015,5,,,,,,
270,11.25,1/12/2015,6,,,,,,
271,11.292,1/12/2015,7,,,,,,
272,11.333,1/12/2015,8,,,,,,
273,11.375,1/12/2015,9,,,,,,
274,11.417,1/12/2015,10,,,,,,
275,11.458,1/12/2015,11,,,,,,
276,11.5,1/12/2015,12,,,,,,
277,11.542,1/12/2015,13,,,,,,
278,11.583,1/12/2015,14,,,,,,
279,11.625,1/12/2015,15,,,,,,
280,11.667,1/12/2015,16,,,,,,
281,11.708,1/12/2015,17,,,,,,
282,11.75,1/12/2015,18,,,,,,
283,11.792,1/12/2015,19,,,,,,
284,11.833,1/12/2015,20,,,,,,
285,11.875,1/12/2015,21,,,,,,
286,11.917,1/12/2015,22,,,,,,
287,11.958,1/12/2015,23,,,,,,
288,12,1/12/2015,24,,,,,,
289,12.042,1/13/2015,1,,,,,,
290,12.083,1/13/2015,2,,,,,,
291,12.125,1/13/2015,3,,,,,,
292,12.167,1/13/2015,4,,,,,,
293,12.208,1/13/2015,5,,,,,,
294,12.25,1/13/2015,6,,,,,,
295,12.292,1/13/2015,7,,,,,,
296,12.333,1/13/2015,8,,,,,,
297,12.375,1/13/2015,9,,,,,,
298,12.417,1/13/2015,10,,,,,,
299,12.458,1/13/2015,11,,,,,,
300,12.5,1/13/2015,12,,,,,,
301,12.542,1/13/2015,13,,,,,,
302,12.583,1/13/2015,14,,,,,,
303,12.625,1/13/2015,15,,,,,,
304,12.667,1/13/2015,16,,,,,,
305,12.708,1/13/2015,17,,,,,,
306,12.75,1/13/2015,18,,,,,,
307,12.792,1/13/2015,19,,,,,,
308,12.833,1/13/2015,20,,,,,,
309,12.875,1/13/2015,21,,,,,,
310,12.917,1/13/2015,22,,,,,,
311,12.958,1/13/2015,23,,,,,,
312,13,1/13/2015,24,,,,,,
313,13.042,1/14/2015,1,,,,,,
314,13.083,1/14/2015,2,,,,,,
315,13.125,1/14/2015,3,,,,,,
316,13.167,1/14/2015,4,,,,,,
317,13.208,1/14/2015,5,,,,,,
318,13.25,1/14/2015,6,,,,,,
319,13.292,1/14/2015,7,,,,,,
320,13.333,1/14/2015,8,,,,,,
321,13.375,1/14/2015,9,,,,,,
322,13.417,1/14/2015,10,,,,,,
323,13.458,1/14/2015,11,,,,,,
324,13.5,1/14/2015,12,,,,,,
325,13.542,1/14/2015,13,,,,,,
326,13.583,1/14/2015,14,,,,,,
327,13.625,1/14/2015,15,,,,,,
328,13.667,1/14/2015,16,,,,,,
329,13.708,1/14/2015,17,,,,,,
330,13.75,1/14/2015,18,,,,,,
331,13.792,1/14/2015,19,,,,,,
332,13.833,1/14/2015,20,,,,,,
333,13.875,1/14/2015,21,,,,,,
334,13.917,1/14/2015,22,,,,,,
335,13.958,1/14/2015,23,,,,,,
336,14,1/14/2015,24,,,,,,
337,14.042,1/15/2015,1,,,,,,
338,14.083,1/15/2015,2,,,,,,
339,14.125,1/15/2015,3,,,,,,
340,14.167,1/15/2015,4,,,,,,
341,14.208,1/15/2015,5,,,,,,
342,14.25,1/15/2015,6,,,,,,
343,14.292,1/15/2015,7,,,,,,
344,14.333,1/15/2015,8,,,,,,
345,14.375,1/15/2015,9,,,,,,
346,14.417,1/15/2015,10,,,,,,
347,14.458,1/15/2015,11,,,,,,
348,14.5,1/15/2015,12,,,,,,
349,14.542,1/15/2015,13,,,,,,
350,14.583,1/15/2015,14,,,,,,
351,14.625,1/15/2015,15,,,,,,
352,14.667,1/15/2015,16,,,,,,
353,14.708,1/15/2015,17,,,,,,
354,14.75,1/15/2015,18,,,,,,
355,14.792,1/15/2015,19,,,,,,
356,14.833,1/15/2015,20,,,,,,
357,14.875,1/15/2015,21,,,,,,
358,14.917,1/15/2015,22,,,,,,
359,14.958,1/15/2015,23,,,,,,
360,15,1/15/2015,24,,,,,,
361,15.042,1/16/2015,1,,,,,,
362,15.083,1/16/2015,2,,,,,,
363,15.125,1/16/2015,3,,,,,,
364,15.167,1/16/2015,4,,,,,,
365,15.208,1/16/2015,5,,,,,,
366,15.25,1/16/2015,6,,,,,,
367,15.292,1/16/2015,7,,,,,,
368,15.333,1/16/2015,8,,,,,,
369,15.375,1/16/2015,9,,,,,,
370,15.417,1/16/2015,10,,,,,,
371,15.458,1/16/2015,11,,,,,,
372,15.5,1/16/2015,12,,,,,,
373,15.542,1/16/2015,13,,,,,,
374,15.583,1/16/2015,14,,,,,,
375,15.625,1/16/2015,15,,,,,,
376,15.667,1/16/2015,16,,,,,,
377,15.708,1/16/2015,17,,,,,,
378,15.75,1/16/2015,18,,,,,,
379,15.792,1/16/2015,19,,,,,,
380,15.833,1/16/2015,20,,,,,,
381,15.875,1/16/2015,21,,,,,,
382,15.917,1/16/2015,22,,,,,,
383,15.958,1/16/2015,23,,,,,,
384,16,1/16/2015,24,,,,,,
385,16.042,1/17/2015,1,,,,,,
386,16.083,1/17/2015,2,,,,,,
387,16.125,1/17/2015,3,,,,,,
388,16.167,1/17/2015,4,,,,,,
389,16.208,1/17/2015,5,,,,,,
390,16.25,1/17/2015,6,,,,,,
391,16.292,1/17/2015,7,,,,,,
392,16.333,1/17/2015,8,,,,,,
393,16.375,1/17/2015,9,,,,,,
394,16.417,1/17/2015,10,,,,,,
395,16.458,1/17/2015,11,,,,,,
396,16.5,1/17/2015,12,,,,,,
397,16.542,1/17/2015,13,,,,,,
398,16.583,1/17/2015,14,,,,,,
399,16.625,1/17/2015,15,,,,,,
400,16.667,1/17/2015,16,,,,,,
401,16.708,1/17/2015,17,,,,,,
402,16.75,1/17/2015,18,,,,,,
403,16.792,1/17/2015,19,,,,,,
404,16.833,1/17/2015,20,,,,,,
405,16.875,1/17/2015,21,,,,,,
406,16.917,1/17/2015,22,,,,,,
407,16.958,1/17/2015,23,,,,,,
408,17,1/17/2015,24,,,,,,
409,17.042,1/18/2015,1,,,,,,
410,17.083,1/18/2015,2,,,,,,
411,17.125,1/18/2015,3,,,,,,
412,17.167,1/18/2015,4,,,,,,
413,17.208,1/18/2015,5,,,,,,
414,17.25,1/18/2015,6,,,,,,
415,17.292,1/18/2015,7,,,,,,
416,17.333,1/18/2015,8,,,,,,
417,17.375,1/18/2015,9,,,,,,
418,17.417,1/18/2015,10,,,,,,
419,17.458,1/18/2015,11,,,,,,
420,17.5,1/18/2015,12,,,,,,
421,17.542,1/18/2015,13,,,,,,
422,17.583,1/18/2015,14,,,,,,
423,17.625,1/18/2015,15,,,,,,
424,17.667,1/18/2015,16,,,,,,
425,17.708,1/18/2015,17,,,,,,
426,17.75,1/18/2015,18,,,,,,
427,17.792,1/18/2015,19,,,,,,
428,17.833,1/18/2015,20,,,,,,
429,17.875,1/18/2015,21,,,,,,
430,17.917,1/18/2015,22,,,,,,
431,17.958,1/18/2015,23,,,,,,
432,18,1/18/2015,24,,,,,,
433,18.042,1/19/2015,1,,,,,,
434,18.083,1/19/2015,2,,,,,,
435,18.125,1/19/2015,3,,,,,,
436,18.167,1/19/2015,4,,,,,,
437,18.208,1/19/2015,5,,,,,,
438,18.25,1/19/2015,6,,,,,,
439,18.292,1/19/2015,7,,,,,,
440,18.333,1/19/2015,8,,,,,,
441,18.375,1/19/2015,9,,,,,,
442,18.417,1/19/2015,10,,,,,,
443,18.458,1/19/2015,11,,,,,,
444,18.5,1/19/2015,12,,,,,,
445,18.542,1/19/2015,13,,,,,,
446,18.583,1/19/2015,14,,,,,,
447,18.625,1/19/2015,15,,,,,,
448,18.667,1/19/2015,16,,,,,,
449,18.708,1/19/2015,17,,,,,,
450,18.75,1/19/2015,18,,,,,,
451,18.792,1/19/2015,19,,,,,,
452,18.833,1/19/2015,20,,,,,,
453,18.875,1/19/2015,21,,,,,,
454,18.917,1/19/2015,22,,,,,,
455,18.958,1/19/2015,23,,,,,,
456,19,1/19/2015,24,,,,,,
457,19.042,1/20/2015,1,,,,,,
458,19.083,1/20/2015,2,,,,,,
459,19.125,1/20/2015,3,,,,,,
460,19.167,1/20/2015,4,,,,,,
461,19.208,1/20/2015,5,,,,,,
462,19.25,1/20/2015,6,,,,,,
463,19.292,1/20/2015,7,,,,,,
464,19.333,1/20/2015,8,,,,,,
465,19.375,1/20/2015,9,,,,,,
466,19.417,1/20/2015,10,,,,,,
467,19.458,1/20/2015,11,,,,,,
468,19.5,1/20/2015,12,,,,,,
469,19.542,1/20/2015,13,,,,,,
470,19.583,1/20/2015,14,,,,,,
471,19.625,1/20/2015,15,,,,,,
472,19.667,1/20/2015,16,,,,,,
473,19.708,1/20/2015,17,,,,,,
474,19.75,1/20/2015,18,,,,,,
475,19.792,1/20/2015,19,,,,,,
476,19.833,1/20/2015,20,,,,,,
477,19.875,1/20/2015,21,,,,,,
478,19.917,1/20/2015,22,,,,,,
479,19.958,1/20/2015,23,,,,,,
480,20,1/20/2015,24,,,,,,
481,20.042,1/21/2015,1,,,,,,
482,20.083,1/21/2015,2,,,,,,
483,20.125,1/21/2015,3,,,,,,
484,20.167,1/21/2015,4,,,,,,
485,20.208,1/21/2015,5,,,,,,
486,20.25,1/21/2015,6,,,,,,
487,20.292,1/21/2015,7,,,,,,
488,20.333,1/21/2015,8,,,,,,
489,20.375,1/21/2015,9,,,,,,
490,20.417,1/21/2015,10,,,,,,
491,20.458,1/21/2015,11,,,,,,
492,20.5,1/21/2015,12,,,,,,
493,20.542,1/21/2015,13,,,,,,
494,20.583,1/21/2015,14,,,,,,
495,20.625,1/21/2015,15,,,,,,
496,20.667,1/21/2015,16,,,,,,
497,20.708,1/21/2015,17,,,,,,
498,20.75,1/21/2015,18,,,,,,
499,20.792,1/21/2015,19,,,,,,
500,20.833,1/21/2015,20,,,,,,
501,20.875,1/21/2015,21,,,,,,
502,20.917,1/21/2015,22,,,,,,
503,20.958,1/21/2015,23,,,,,,
504,21,1/21/2015,24,,,,,,
505,21.042,1/22/2015,1,,,,,,
506,21.083,1/22/2015,2,,,,,,
507,21.125,1/22/2015,3,,,,,,
508,21.167,1/22/2015,4,,,,,,
509,21.208,1/22/2015,5,,,,,,
510,21.25,1/22/2015,6,,,,,,
511,21.292,1/22/2015,7,,,,,,
512,21.333,1/22/2015,8,,,,,,
513,21.375,1/22/2015,9,,,,,,
514,21.417,1/22/2015,10,,,,,,
515,21.458,1/22/2015,11,,,,,,
516,21.5,1/22/2015,12,,,,,,
517,21.542,1/22/2015,13,,,,,,
518,21.583,1/22/2015,14,,,,,,
519,21.625,1/22/2015,15,,,,,,
520,21.667,1/22/2015,16,,,,,,
521,21.708,1/22/2015,17,,,,,,
522,21.75,1/22/2015,18,,,,,,
523,21.792,1/22/2015,19,,,,,,
524,21.833,1/22/2015,20,,,,,,
525,21.875,1/22/2015,21,,,,,,
526,21.917,1/22/2015,22,,,,,,
527,21.958,1/22/2015,23,,,,,,
528,22,1/22/2015,24,,,,,,
529,22.042,1/23/2015,1,,,,,,
530,22.083,1/23/2015,2,,,,,,
531,22.125,1/23/2015,3,,,,,,
532,22.167,1/23/2015,4,,,,,,
533,22.208,1/23/2015,5,,,,,,
534,22.25,1/23/2015,6,,,,,,
535,22.292,1/23/2015,7,,,,,,
536,22.333,1/23/2015,8,,,,,,
537,22.375,1/23/2015,9,,,,,,
538,22.417,1/23/2015,10,,,,,,
539,22.458,1/23/2015,11,,,,,,
540,22.5,1/23/2015,12,,,,,,
541,22.542,1/23/2015,13,,,,,,
542,22.583,1/23/2015,14,,,,,,
543,22.625,1/23/2015,15,,,,,,
544,22.667,1/23/2015,16,,,,,,
545,22.708,1/23/2015,17,,,,,,
546,22.75,1/23/2015,18,,,,,,
547,22.792,1/23/2015,19,,,,,,
548,22.833,1/23/2015,20,,,,,,
549,22.875,1/23/2015,21,,,,,,
550,22.917,1/23/2015,22,,,,,,
551,22.958,1/23/2015,23,,,,,,
552,23,1/23/2015,24,,,,,,
553,23.042,1/24/2015,1,,,,,,
554,23.083,1/24/2015,2,,,,,,
555,23.125,1/24/2015,3,,,,,,
556,23.167,1/24/2015,4,,,,,,
557,23.208,1/24/2015,5,,,,,,
558,23.25,1/24/2015,6,,,,,,
559,23.292,1/24/2015,7,,,,,,
560,23.333,1/24/2015,8,,,,,,
561,23.375,1/24/2015,9,,,,,,
562,23.417,1/24/2015,10,,,,,,
563,23.458,1/24/2015,11,,,,,,
564,23.5,1/24/2015,12,,,,,,
565,23.542,1/24/2015,13,,,,,,
566,23.583,1/24/2015,14,,,,,,
567,23.625,1/24/2015,15,,,,,,
568,23.667,1/24/2015,16,,,,,,
569,23.708,1/24/2015,17,,,,,,
570,23.75,1/24/2015,18,,,,,,
571,23.792,1/24/2015,19,,,,,,
572,23.833,1/24/2015,20,,,,,,
573,23.875,1/24/2015,21,,,,,,
574,23.917,1/24/2015,22,,,,,,
575,23.958,1/24/2015,23,,,,,,
576,24,1/24/2015,24,,,,,,
577,24.042,1/25/2015,1,,,,,,
578,24.083,1/25/2015,2,,,,,,
579,24.125,1/25/2015,3,,,,,,
580,24.167,1/25/2015,4,,,,,,
581,24.208,1/25/2015,5,,,,,,
582,24.25,1/25/2015,6,,,,,,
583,24.292,1/25/2015,7,,,,,,
584,24.333,1/25/2015,8,,,,,,
585,24.375,1/25/2015,9,,,,,,
586,24.417,1/25/2015,10,,,,,,
587,24.458,1/25/2015,11,,,,,,
588,24.5,1/25/2015,12,,,,,,
589,24.542,1/25/2015,13,,,,,,
590,24.583,1/25/2015,14,,,,,,
591,24.625,1/25/2015,15,,,,,,
592,24.667,1/25/2015,16,,,,,,
593,24.708,1/25/2015,17,,,,,,
594,24.75,1/25/2015,18,,,,,,
595,24.792,1/25/2015,19,,,,,,
596,24.833,1/25/2015,20,,,,,,
597,24.875,1/25/2015,21,,,,,,
598,24.917,1/25/2015,22,,,,,,
599,24.958,1/25/2015,23,,,,,,
600,25,1/25/2015,24,,,,,,
601,25.042,1/26/2015,1,,,,,,
602,25.083,1/26/2015,2,,,,,,
603,25.125,1/26/2015,3,,,,,,
604,25.167,1/26/2015,4,,,,,,
605,25.208,1/26/2015,5,,,,,,
606,25.25,1/26/2015,6,,,,,,
607,25.292,1/26/2015,7,,,,,,
608,25.333,1/26/2015,8,,,,,,
609,25.375,1/26/2015,9,,,,,,
610,25.417,1/26/2015,10,,,,,,
611,25.458,1/26/2015,11,,,,,,
612,25.5,1/26/2015,12,,,,,,
613,25.542,1/26/2015,13,,,,,,
614,25.583,1/26/2015,14,,,,,,
615,25.625,1/26/2015,15,,,,,,
616,25.667,1/26/2015,16,,,,,,
617,25.708,1/26/2015,17,,,,,,
618,25.75,1/26/2015,18,,,,,,
619,25.792,1/26/2015,19,,,,,,
620,25.833,1/26/2015,20,,,,,,
621,25.875,1/26/2015,21,,,,,,
622,25.917,1/26/2015,22,,,,,,
623,25.958,1/26/2015,23,,,,,,
624,26,1/26/2015,24,,,,,,
625,26.042,1/27/2015,1,,,,,,
626,26.083,1/27/2015,2,,,,,,
627,26.125,1/27/2015,3,,,,,,
628,26.167,1/27/2015,4,,,,,,
629,26.208,1/27/2015,5,,,,,,
630,26.25,1/27/2015,6,,,,,,
631,26.292,1/27/2015,7,,,,,,
632,26.333,1/27/2015,8,,,,,,
633,26.375,1/27/2015,9,,,,,,
634,26.417,1/27/2015,10,,,,,,
635,26.458,1/27/2015,11,,,,,,
636,26.5,1/27/2015,12,,,,,,
637,26.542,1/27/2015,13,,,,,,
638,26.583,1/27/2015,14,,,,,,
639,26.625,1/27/2015,15,,,,,,
640,26.667,1/27/2015,16,,,,,,
641,26.708,1/27/2015,17,,,,,,
642,26.75,1/27/2015,18,,,,,,
643,26.792,1/27/2015,19,,,,,,
644,26.833,1/27/2015,20,,,,,,
645,26.875,1/27/2015,21,,,,,,
646,26.917,1/27/2015,22,,,,,,
647,26.958,1/27/2015,23,,,,,,
648,27,1/27/2015,24,,,,,,
649,27.042,1/28/2015,1,,,,,,
650,27.083,1/28/2015,2,,,,,,
651,27.125,1/28/2015,3,,,,,,
652,27.167,1/28/2015,4,,,,,,
653,27.208,1/28/2015,5,,,,,,
654,27.25,1/28/2015,6,,,,,,
655,27.292,1/28/2015,7,,,,,,
656,27.333,1/28/2015,8,,,,,,
657,27.375,1/28/2015,9,,,,,,
658,27.417,1/28/2015,10,,,,,,
659,27.458,1/28/2015,11,,,,,,
660,27.5,1/28/2015,12,,,,,,
661,27.542,1/28/2015,13,,,,,,
