Columns ,Chamber_ID,Location_ID,Timestamp_Begin,Timestamp_End,Flux_CO2,Flux_SE_CO2,CrvFit_CO2,R2_CO2,CO2_Error,Flux_CH4_diffusive,Flux_CH4_ebullition,Flux_CH4,Flux_SE_CH4,CrvFit_CH4_diffusive,R2_CH4,CH4_Error,Tair,Atm_pressure,Notes
Sample,April_14_O3,O3,20230425143645,20230425143845,0.443428,0.130632,Exp:HutchisonMosier,0.934322,,0.011438,0,0.011438,0.242317,Exp:HutchisonMosier_noEbullition,0.989595,,8.4,1,
Sample,April_14_V1,V1,20230425142745,20230425142945,0.250364,0.173201,Exp:HutchisonMosier,0.784586,,0.008868,0,0.008868,0.235044,Exp:HutchisonMosier_noEbullition,0.985612,,8.35,1,
Sample,April_14_V2,V2,20230425143100,20230425143300,0.603311,0.175068,Exp:HutchisonMosier,0.902774,,0.004615,0,0.004615,0.524053,Exp:HutchisonMosier_noEbullition,0.822519,,7.4,1,
Sample,April_14_V3,V3,20230425143350,20230425143550,1.046545,0.175653,Exp:HutchisonMosier,0.973211,,0.006377,0,0.006377,0.105392,Exp:HutchisonMosier_noEbullition,0.992711,,8.6,1,
Sample,April_15_O1,O1,20230425153820,20230425154020,0.403534,0.123831,Exp:HutchisonMosier,0.904799,,0.006411,0,0.006411,0.119688,Exp:HutchisonMosier_noEbullition,0.989315,,10.7,1,
Sample,April_15_O2,O2,20230425154110,20230425154310,0.458563,0.115123,Exp:HutchisonMosier,0.881414,,0.010549,0,0.010549,0.151516,Exp:HutchisonMosier_noEbullition,0.990208,,10.2,1,
Sample,April_15_O3,O3,20230425155345,20230425155545,0.267829,0.151711,Exp:HutchisonMosier,0.870234,,0.005828,-0.004311,0.001517,0.118564,Exp:HutchisonMosier_noEbullition,0.992554,,11.1,1,
Sample,April_15_V1,V1,20230425154515,20230425154715,0.126825,0.123095,Exp:HutchisonMosier,0.359232,,0.009556,0,0.009556,0.09041,Exp:HutchisonMosier_noEbullition,0.997859,,10,1,
Sample,April_15_V2,V2,20230425154800,20230425155000,0.514718,0.138877,Exp:HutchisonMosier,0.948306,,0.005999,0,0.005999,0.089255,Exp:HutchisonMosier_noEbullition,0.995917,,9.4,1,
Sample,April_15_V3,V3,20230425155040,20230425155240,0.860585,0.141606,Exp:HutchisonMosier,0.968771,,0.003739,0,0.003739,0.040192,Exp:HutchisonMosier_noEbullition,0.997221,,10.3,1,
Sample,April_16_O1,O1,20230425164400,20230425164600,0.186931,0.125209,Exp:HutchisonMosier,0.786986,,0.005442,0,0.005442,0.086922,Exp:HutchisonMosier_noEbullition,0.991589,,9,1,
Sample,April_16_O2,O2,20230425164725,20230425164925,0.291662,0.125062,Exp:HutchisonMosier,0.86606,,0.024768,0.019064,0.043832,0.668986,Exp:HutchisonMosier_noEbullition,0.926382,,8.55,1,
Sample,April_16_O3,O3,20230425165935,20230425170135,0.364178,0.121349,Exp:HutchisonMosier,0.873456,,0.005954,0,0.005954,0.142947,Exp:HutchisonMosier_noEbullition,0.987701,,9.15,1,
Sample,April_16_V1,V1,20230425165135,20230425165335,0.268276,0.132328,Exp:HutchisonMosier,0.702613,,0.008714,0,0.008714,0.063675,Exp:HutchisonMosier_noEbullition,0.998921,,8.3,1,
Sample,April_16_V2,V2,20230425165410,20230425165610,0.681062,0.125519,Exp:HutchisonMosier,0.953522,,0.007242,-0.002126,0.005116,0.085587,Exp:HutchisonMosier_noEbullition,0.995957,,8.05,1,
Sample,April_16_V3,V3,20230425165645,20230425165845,0.734385,0.136767,Exp:HutchisonMosier,0.943362,,0.002934,0,0.002934,0.032362,Exp:HutchisonMosier_noEbullition,0.994573,,8.85,1,
Sample,April_17_O1,O1,20230425170345,20230425170535,0.167905,0.124115,Exp:HutchisonMosier,0.768907,,0.006099,0,0.006099,0.280705,Exp:HutchisonMosier_noEbullition,0.941797,,8.5,1,
Sample,April_17_O2,O2,20230425170630,20230425170830,0.190863,0.144127,Exp:HutchisonMosier,0.755893,,0.007315,0,0.007315,0.314695,Exp:HutchisonMosier_noEbullition,0.969614,,8.65,1,
Sample,April_17_O3,O3,20230425171850,20230425172050,0.5353,0.160912,Exp:HutchisonMosier,0.855228,,0.010456,-0.005206,0.00525,0.268183,Exp:HutchisonMosier_noEbullition,0.962633,,8.65,1,
Sample,April_17_V1,V1,20230425171030,20230425171230,0.326071,0.13791,Exp:HutchisonMosier,0.631628,,0.010353,-0.002799,0.007554,0.257988,Exp:HutchisonMosier_noEbullition,0.987086,,8.3,1,
Sample,April_17_V2,V2,20230425171305,20230425171505,0.496854,0.162784,Exp:HutchisonMosier,0.935905,,0.02212,0.001931,0.024051,0.588006,Exp:HutchisonMosier_noEbullition,0.901552,,8.35,1,
Sample,April_17_V3,V3,20230425171545,20230425171745,0.879637,0.153917,Exp:HutchisonMosier,0.973107,,0.002772,0,0.002772,0.065642,Exp:HutchisonMosier_noEbullition,0.991112,,8.25,1,
Sample,May_7_O1,O1,20230523070800,20230523071000,0.660837,0.173825,Exp:HutchisonMosier,0.942558,,0.024028,0.002286,0.026314,0.650614,Exp:HutchisonMosier_noEbullition,0.976252,,12.25,1,
Sample,May_7_O2,O2,20230523071115,20230523071315,0.924812,0.134665,Exp:HutchisonMosier,0.970809,,0.019783,0.002268,0.022051,0.649392,Exp:HutchisonMosier_noEbullition,0.953069,,12,1,
Sample,May_7_O3,O3,20230523072655,20230523072855,1.213076,0.18031,Exp:HutchisonMosier,0.958024,,0.004968,0,0.004968,0.12718,Exp:HutchisonMosier_noEbullition,0.97063,,10.7,1,
Sample,May_7_V1,V1,20230523071600,20230523071800,5.243019,0.576095,Exp:HutchisonMosier,0.311396,,0.034788,0.096575,0.131363,2.531484,Exp:HutchisonMosier_noEbullition,0.897559,,10.55,1,
Sample,May_7_V2,V2,20230523071920,20230523072120,-9999,-9999,-9999,-9999,,0.056713,0.004258,0.060971,1.090878,Exp:HutchisonMosier_noEbullition,0.98895,,10.25,1,
Sample,May_7_V3,V3,20230523072325,20230523072525,-9999,-9999,-9999,-9999,,0.022781,0,0.022781,1.377015,Exp:HutchisonMosier_noEbullition,0.91228,,10.45,1,
Sample,May_8_O1,O1,20230523081120,20230523081320,0.821847,0.1328,Exp:HutchisonMosier,0.978873,,0.034281,0.0028,0.037081,0.658012,Exp:HutchisonMosier_noEbullition,0.985914,,14,1,
Sample,May_8_O2,O2,20230523081500,20230523081700,0.769478,0.115412,Exp:HutchisonMosier,0.97913,,0.021431,0,0.021431,0.167789,Exp:HutchisonMosier_noEbullition,0.997065,,14.6,1,
Sample,May_8_O3,O3,20230523082850,20230523083050,1.068442,0.118878,Exp:HutchisonMosier,0.985198,,0.005427,0,0.005427,0.055134,Exp:HutchisonMosier_noEbullition,0.996803,,13.65,1,
Sample,May_8_V1,V1,20230523081920,20230523082120,-2.521873,0.11159,Exp:HutchisonMosier,0.99873,,0.018645,0.005291,0.023936,0.949025,Exp:HutchisonMosier_noEbullition,0.881083,,13.3,1,
Sample,May_8_V2,V2,20230523082210,20230523082410,-3.18637,0.300424,Exp:HutchisonMosier,0.993555,,0.058051,0,0.058051,1.075586,Exp:HutchisonMosier_noEbullition,0.989305,,12.9,1,
Sample,May_8_V3,V3,20230523082535,20230523082735,-1.602165,0.134252,Exp:HutchisonMosier,0.995932,,0.022517,0,0.022517,0.149158,Exp:HutchisonMosier_noEbullition,0.998942,,12.9,1,
Sample,May_9_O1,O1,20230523091435,20230523091635,1.113839,0.167443,Exp:HutchisonMosier,0.97864,,0.041635,0.006243,0.047878,1.006341,Exp:HutchisonMosier_noEbullition,0.964952,,16.5,1,
Sample,May_9_O2,O2,20230523091745,20230523091945,1.119166,0.489406,Exp:HutchisonMosier,0.889036,,0.028472,0.005489,0.033961,1.375249,Exp:HutchisonMosier_noEbullition,0.885468,,16.15,1,
Sample,May_9_O3,O3,20230523093020,20230523093220,0.505059,0.156456,Exp:HutchisonMosier,0.926448,,0.003496,-0.003798,-0.000302,0.234869,Exp:HutchisonMosier_noEbullition,0.898572,,16.45,1,
Sample,May_9_V1,V1,20230523092205,20230523092405,-3.781681,0.274835,Exp:HutchisonMosier,0.997094,,0.043867,0.00025,0.044117,0.17092,Exp:HutchisonMosier_noEbullition,0.999286,,15.7,1,
Sample,May_9_V2,V2,20230523092205,20230523092405,-4.515398,0.419296,Exp:HutchisonMosier,0.996133,,0.051728,0.004224,0.055952,0.623992,Exp:HutchisonMosier_noEbullition,0.995881,,15.55,1,
Sample,May_9_V3,V3,20230523092800,20230523093000,-3.433045,0.149819,Exp:HutchisonMosier,0.99898,,0.022105,0,0.022105,0.091512,Exp:HutchisonMosier_noEbullition,0.999603,,16.4,1,
Sample,May_10_O1,O1,20230523100725,20230523100925,2.124055,0.795027,Exp:HutchisonMosier,0.803962,,0.103559,0.017009,0.120568,2.568831,Exp:HutchisonMosier_noEbullition,0.80108,,17.6,1,
Sample,May_10_O2,O2,20230523101045,20230523101245,1.30686,0.412185,Exp:HutchisonMosier,0.942435,,0.024031,0,0.024031,0.993248,Exp:HutchisonMosier_noEbullition,0.964041,,17.6,1,
Sample,May_10_O3,O3,20230523102430,20230523102630,0.742775,0.2155,Exp:HutchisonMosier,0.9128,,0.021711,0,0.021711,0.677076,Exp:HutchisonMosier_noEbullition,0.883455,,18.75,1,
Sample,May_10_V1,V1,20230523101610,20230523101810,-6.113711,1.062525,Exp:HutchisonMosier,0.990189,,0.024781,0,0.024781,0.534572,Exp:HutchisonMosier_noEbullition,0.988237,,20.45,1,
Sample,May_10_V2,V2,20230523101850,20230523102050,-6.59154,0.656866,Exp:HutchisonMosier,0.994795,,0.0668,0.002473,0.069273,0.972937,Exp:HutchisonMosier_noEbullition,0.992989,,20.45,1,
Sample,May_10_V3,V3,20230523102140,20230523102340,-5.293259,0.963334,Exp:HutchisonMosier,0.961848,,0.025786,0,0.025786,0.575249,Exp:HutchisonMosier_noEbullition,0.990289,,20.65,1,
Sample,May_11_O1,O1,20230523110850,20230523111050,1.168876,0.332967,Exp:HutchisonMosier,0.91588,,0.037765,0.003658,0.041423,2.109017,Exp:HutchisonMosier_noEbullition,0.910651,,19.65,1,
Sample,May_11_O2,O2,20230523110510,20230523110710,1.144369,0.214669,Exp:HutchisonMosier,0.978623,,0.030473,0,0.030473,0.841921,Exp:HutchisonMosier_noEbullition,0.969604,,19.95,1,
Sample,May_11_O3,O3,20230523115325,20230523115525,0.631072,0.186815,Exp:HutchisonMosier,0.923348,,0.01545,0.07047,0.08592,4.298928,Exp:HutchisonMosier_noEbullition,0.721859,,21.25,1,
Sample,May_11_V1,V1,20230523114445,20230523114645,-2.882231,1.103474,Exp:HutchisonMosier,0.949412,,0.004602,0.030888,0.03549,2.049732,Exp:HutchisonMosier_noEbullition,0.214211,,19.05,1,
Sample,May_11_V2,V2,20230523114740,20230523114940,-5.291251,0.468455,Exp:HutchisonMosier,0.995998,,0.061097,0.0108,0.071897,0.880947,Exp:HutchisonMosier_noEbullition,0.993176,,20.25,1,
Sample,May_11_V3,V3,20230523115030,20230523115230,-5.879696,0.422491,Exp:HutchisonMosier,0.99483,,0.034092,0,0.034092,0.864128,Exp:HutchisonMosier_noEbullition,0.980015,,21.65,1,
Sample,May_12_O1,O1,20230523124230,20230523124430,1.306392,0.426679,Exp:HutchisonMosier,0.914121,,0.083375,0.257506,0.340881,1.635701,Exp:HutchisonMosier_noEbullition,0.94808,,22.4,1,
Sample,May_12_O2,O2,20230523124510,20230523124710,1.170163,0.257997,Exp:HutchisonMosier,0.968672,,0.041417,0.004808,0.046225,1.190617,Exp:HutchisonMosier_noEbullition,0.978099,,22.15,1,
Sample,May_12_O3,O3,20230523125810,20230523130010,1.937631,0.431395,Exp:HutchisonMosier,0.952829,,0.0436,0.024514,0.068114,1.521949,Exp:HutchisonMosier_noEbullition,0.917402,,21.65,1,
Sample,May_12_V1,V1,20230523124930,20230523125130,-4.99129,0.818443,Exp:HutchisonMosier,0.981731,,0.036358,0.023667,0.060025,1.071186,Exp:HutchisonMosier_noEbullition,0.820789,,21.9,1,
Sample,May_12_V2,V2,20230523125220,20230523125420,-4.475191,1.485132,Exp:HutchisonMosier,0.962507,,0.055578,0.028279,0.083857,1.336996,Exp:HutchisonMosier_noEbullition,0.985537,,24.25,1,
Sample,May_12_V3,V3,20230523125525,20230523125725,-6.984348,1.171602,Exp:HutchisonMosier,0.965412,,0.025496,0.012578,0.038074,1.398942,Exp:HutchisonMosier_noEbullition,0.944251,,23.45,1,
Sample,May_13_O1,O1,20230523130240,20230523130440,1.6561,0.266066,Exp:HutchisonMosier,0.973976,,0.068627,0.01809,0.086717,1.291585,Exp:HutchisonMosier_noEbullition,0.970354,,20.7,1,
Sample,May_13_O2,O2,20230523130530,20230523130730,1.133771,0.415333,Exp:HutchisonMosier,0.932587,,0.019917,0.015454,0.035371,1.719982,Exp:HutchisonMosier_noEbullition,0.86281,,20.85,1,
Sample,May_13_O3,O3,20230523132810,20230523133010,1.771662,0.391977,Exp:HutchisonMosier,0.95676,,0.022864,0.004143,0.027007,1.377395,Exp:HutchisonMosier_noEbullition,0.928124,,21.55,1,
Sample,May_13_V1,V1,20230523132015,20230523132215,-3.283525,3.70341,Exp:HutchisonMosier,0.492262,,0.00286,0.034095,0.036955,1.725991,Exp:HutchisonMosier_noEbullition,0.080724,,23.45,1,
Sample,May_13_V2,V2,20230523132245,20230523132445,-7.539384,2.05752,Exp:HutchisonMosier,0.949042,,0.068535,0.021352,0.089887,1.315278,Exp:HutchisonMosier_noEbullition,0.989768,,24.7,1,
Sample,May_13_V3,V3,20230523132525,20230523132725,-5.118682,0.64335,Exp:HutchisonMosier,0.979375,,0.051035,-0.00435,0.046685,1.716334,Exp:HutchisonMosier_noEbullition,0.972031,,23.2,1,
Sample,May_14_O1,O1,20230523142245,20230523142445,1.353181,0.254575,Exp:HutchisonMosier,0.970718,,0.017541,0.05592,0.073461,0.647665,Exp:HutchisonMosier_noEbullition,0.901932,,22.9,1,
Sample,May_14_O2,O2,20230523142530,20230523142730,1.484836,0.28408,Exp:HutchisonMosier,0.980167,,0.055597,0.010931,0.066528,0.916297,Exp:HutchisonMosier_noEbullition,0.978178,,21.95,1,
Sample,May_14_O3,O3,20230523143735,20230523143935,0.988789,0.422379,Exp:HutchisonMosier,0.914188,,0.016475,0,0.016475,0.839611,Exp:HutchisonMosier_noEbullition,0.951435,,20.05,1,
Sample,May_14_V1,V1,20230523142925,20230523143125,-13.489375,1.402594,Exp:HutchisonMosier,0.971833,,0.026862,0,0.026862,1.380863,Exp:HutchisonMosier_noEbullition,0.94415,,21.8,1,
Sample,May_14_V2,V2,20230523143200,20230523143400,-27.841397,1.491759,Exp:HutchisonMosier,0.990575,,0.107049,0,0.107049,1.207089,Exp:HutchisonMosier_noEbullition,0.99519,,21.1,1,
Sample,May_14_V3,V3,20230523143430,20230523143630,-2.920892,0.938008,Exp:HutchisonMosier,0.957535,,0.027077,0,0.027077,0.962968,Exp:HutchisonMosier_noEbullition,0.904492,,20.4,1,
Sample,May_15_O1,O1,20230523151910,20230523152110,1.881121,0.27202,Exp:HutchisonMosier,0.975897,,0.034767,0.06055,0.095317,1.17463,Exp:HutchisonMosier_noEbullition,0.924652,,21.95,1,
Sample,May_15_O2,O2,20230523152150,20230523152350,1.964041,0.338419,Exp:HutchisonMosier,0.969254,,0.000768,0.056366,0.057134,1.153773,Exp:HutchisonMosier_noEbullition,0.019487,,22.4,1,
Sample,May_15_O3,O3,20230523153310,20230523153510,0.803615,0.242661,Exp:HutchisonMosier,0.954385,,0.008442,0.007114,0.015556,1.003593,Exp:HutchisonMosier_noEbullition,0.796504,,20.5,1,
Sample,May_15_V1,V1,20230523152530,20230523152730,-3.722908,0.611376,Exp:HutchisonMosier,0.985892,,0.009123,0.022819,0.031942,2.057815,Exp:HutchisonMosier_noEbullition,0.752829,,21.55,1,
Sample,May_15_V2,V2,20230523152755,20230523152955,-24.129783,2.446564,Exp:HutchisonMosier,0.954959,,0.047233,0.026011,0.073244,5.804286,Exp:HutchisonMosier_noEbullition,0.779683,,21.4,1,
Sample,May_15_V3,V3,20230523153030,20230523153230,-2.067529,0.369925,Exp:HutchisonMosier,0.971368,,0.063499,0.002014,0.065513,0.828591,Exp:HutchisonMosier_noEbullition,0.986504,,21,1,
Sample,May_16_O1,O1,20230523161820,20230523162020,1.852732,0.277741,Exp:HutchisonMosier,0.979625,,-0.000172,0.144184,0.144012,0.651389,Exp:HutchisonMosier_noEbullition,0.003121,,22.55,1,
Sample,May_16_O2,O2,20230523162055,20230523162255,1.939974,0.218623,Exp:HutchisonMosier,0.986383,,0.023314,0.01139,0.034704,0.748631,Exp:HutchisonMosier_noEbullition,0.973626,,22.6,1,
Sample,May_16_O3,O3,20230523163250,20230523163450,0.566649,0.164708,Exp:HutchisonMosier,0.955699,,0.009976,0.002205,0.012181,0.249926,Exp:HutchisonMosier_noEbullition,0.987996,,20.95,1,
Sample,May_16_V1,V1,20230523162455,20230523162655,-4.540513,0.934062,Exp:HutchisonMosier,0.98491,,0.014911,0.082813,0.097724,2.888493,Exp:HutchisonMosier_noEbullition,0.730015,,23,1,
Sample,May_16_V2,V2,20230523162725,20230523162925,-5.528924,1.502544,Exp:HutchisonMosier,0.957603,,0.046057,-0.018283,0.027774,3.330863,Exp:HutchisonMosier_noEbullition,0.878832,,22.65,1,
Sample,May_16_V3,V3,20230523163000,20230523163200,-2.437683,1.22418,Exp:HutchisonMosier,0.899117,,0.028349,0,0.028349,2.156892,Exp:HutchisonMosier_noEbullition,0.908787,,20.9,1,
Sample,May_17_O1,O1,20230523171300,20230523171500,1.901786,0.228822,Exp:HutchisonMosier,0.978288,,0.016731,0.060433,0.077164,1.180996,Exp:HutchisonMosier_noEbullition,0.851528,,21.8,1,
Sample,May_17_O2,O2,20230523171545,20230523171745,0.908442,0.298634,Exp:HutchisonMosier,0.943027,,0.024141,0.002391,0.026532,1.025224,Exp:HutchisonMosier_noEbullition,0.95339,,22.9,1,
Sample,May_17_O3,O3,20230523172720,20230523172920,0.453678,0.158079,Exp:HutchisonMosier,0.942291,,-0.01344,0.032947,0.019507,2.045589,Exp:HutchisonMosier_noEbullition,0.714386,,19.95,1,
